timestamp,asset,direction,timeframe,signal_type,entry,tp1,tp2,tp3,stop_loss,risk_reward,confidence,confluences,patterns,news_sentiment
2026-02-24 12:17:09 UTC,EURUSD=X,SHORT,1d,Reversal,1.177995,1.176626,1.175713,1.174344,1.179364,1.0,6.7,152,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:17:26 UTC,GBPUSD=X,SHORT,4h,Reversal,1.348509,1.346851,1.345747,1.344089,1.350166,1.0,7.5,145,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:17:40 UTC,USDJPY=X,LONG,4h,Reversal,155.972,156.441177,156.753961,157.223138,155.502823,1.0,7.8,163,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:17:53 UTC,AUDUSD=X,SHORT,15m,Reversal,0.704473,0.70311,0.702202,0.700838,0.705837,1.0,7.2,175,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:18:06 UTC,USDCAD=X,LONG,4h,Reversal,1.37126,1.373304,1.374667,1.376711,1.369216,1.0,6.5,147,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:18:39 UTC,NZDUSD=X,SHORT,4h,Reversal,0.595273,0.594218,0.593515,0.592459,0.596329,1.0,7.8,174,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:26:33 UTC,BTC-USD,LONG,5m,Reversal,63279.351562,64005.182059,64489.069057,65214.899554,62553.521066,1.0,7.0,163,"EMA Cross, Supertrend, Ichimoku",Bullish
2026-02-24 12:26:53 UTC,ETH-USD,SHORT,4h,Reversal,1826.310547,1801.473755,1784.915894,1760.079102,1851.147339,1.0,6.9,151,"EMA Cross, Supertrend, Ichimoku",Bearish
2026-02-24 12:27:11 UTC,BNB-USD,SHORT,1d,Reversal,586.772705,581.273767,577.607808,572.108869,592.271644,1.0,8.3,177,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:27:27 UTC,XRP-USD,SHORT,1d,Reversal,1.333215,1.319328,1.310069,1.296182,1.347103,1.0,6.9,158,"EMA Cross, Supertrend, ADX(57.8)",Neutral
2026-02-24 12:27:43 UTC,SOL-USD,SHORT,4h,Reversal,76.866249,75.87606,75.215933,74.225744,77.856439,1.0,6.4,161,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:27:58 UTC,ADA-USD,LONG,5m,Reversal,0.257337,0.259763,0.26138,0.263806,0.254911,1.0,6.3,156,"Supertrend, Ichimoku, ADX(25.1)",Neutral
2026-02-24 12:28:15 UTC,DOGE-USD,SHORT,4h,Reversal,0.091187,0.090251,0.089626,0.08869,0.092124,1.0,7.2,164,"EMA Cross, Supertrend, ADX(46.7)",Neutral
2026-02-24 12:28:31 UTC,AVAX-USD,LONG,15m,Reversal,8.343947,8.434949,8.495616,8.586618,8.252946,1.0,7.2,183,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:28:48 UTC,SHIB-USD,LONG,5m,Reversal,6e-06,6e-06,6e-06,6e-06,6e-06,1.0,7.2,173,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:30:30 UTC,MATIC-USD,LONG,4h,Reversal,0.3794,0.385057,0.388829,0.394486,0.373743,1.0,6.3,152,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:30:48 UTC,LTC-USD,SHORT,1d,Reversal,50.842339,50.2441,49.845274,49.247035,51.440577,1.0,6.1,161,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:31:07 UTC,LINK-USD,LONG,1d,Reversal,8.183244,8.267457,8.3236,8.407813,8.09903,1.0,6.3,166,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:33:25 UTC,EURUSD=X,SHORT,1d,Reversal,1.177995,1.176596,1.175664,1.174265,1.179394,1.0,6.4,156,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:33:37 UTC,GBPUSD=X,SHORT,4h,Reversal,1.348545,1.346882,1.345773,1.34411,1.350208,1.0,7.0,146,"EMA Cross, Supertrend, Parabolic SAR",Neutral
2026-02-24 12:33:50 UTC,USDJPY=X,LONG,4h,Reversal,155.895004,156.367287,156.682143,157.154425,155.422721,1.0,7.0,157,"Supertrend, Ichimoku, ADX(34.4)",Neutral
2026-02-24 12:34:01 UTC,AUDUSD=X,SHORT,4h,Reversal,0.704325,0.702935,0.702008,0.700619,0.705714,1.0,6.6,164,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:34:13 UTC,USDCAD=X,LONG,4h,Reversal,1.3713,1.373364,1.374739,1.376803,1.369236,1.0,6.7,157,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-24 12:34:36 UTC,NZDUSD=X,SHORT,4h,Reversal,0.595167,0.594093,0.593377,0.592303,0.596241,1.0,7.7,178,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-25 02:17:22 UTC,GBPUSD=X,LONG,15m,Reversal,1.351151,1.353134,1.354456,1.35644,1.349167,1.0,6.1,164,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-25 02:17:51 UTC,AUDUSD=X,LONG,4h,Reversal,0.708516,0.710006,0.710999,0.712488,0.707027,1.0,7.1,155,"EMA Cross, Supertrend, Parabolic SAR",Neutral
2026-02-25 02:18:05 UTC,USDCAD=X,SHORT,4h,Reversal,1.36954,1.367549,1.366222,1.364231,1.371531,1.0,6.3,149,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-25 02:18:21 UTC,USDCHF=X,SHORT,4h,Reversal,0.77307,0.771747,0.770865,0.769541,0.774393,1.0,6.5,161,"EMA Cross, Supertrend, Ichimoku",Neutral
2026-02-25 02:18:37 UTC,NZDUSD=X,LONG,15m,Reversal,0.597621,0.598753,0.599508,0.60064,0.59649,1.0,6.0,152,"EMA Cross, Supertrend, Parabolic SAR",Neutral
2026-02-25 02:19:09 UTC,BTC-USD,LONG,4h,Reversal,66164.828125,67022.473633,67594.237305,68451.882812,65307.182617,1.0,6.4,182,"EMA Cross, Supertrend, Ichimoku",Bearish
